2018-07-20 00:02:00 | t: 16.389572 | C: False; H: False
2018-07-20 00:04:00 | t: 16.379470 | C: False; H: False
2018-07-20 00:06:00 | t: 16.369451 | C: False; H: False
2018-07-20 00:08:00 | t: 16.359447 | C: False; H: False
2018-07-20 00:10:00 | t: 16.349446 | C: False; H: False
2018-07-20 00:12:00 | t: 16.339446 | C: False; H: False
2018-07-20 00:14:00 | t: 16.329447 | C: False; H: False
2018-07-20 00:16:00 | t: 16.319447 | C: False; H: False
2018-07-20 00:18:00 | t: 16.309447 | C: False; H: False
2018-07-20 00:20:00 | t: 16.299448 | C: False; H: False
2018-07-20 00:22:00 | t: 16.289448 | C: False; H: False
2018-07-20 00:24:00 | t: 16.279449 | C: False; H: False
2018-07-20 00:26:00 | t: 16.269449 | C: False; H: False
2018-07-20 00:28:00 | t: 16.259449 | C: False; H: False
2018-07-20 00:30:00 | t: 16.249450 | C: False; H: False
2018-07-20 00:32:00 | t: 16.239451 | C: False; H: False
2018-07-20 00:34:00 | t: 16.229451 | C: False; H: False
2018-07-20 00:36:00 | t: 16.219452 | C: False; H: False
2018-07-20 00:38:00 | t: 16.209452 | C: False; H: False
2018-07-20 00:40:00 | t: 16.199453 | C: False; H: False
2018-07-20 00:42:00 | t: 16.189454 | C: False; H: False
2018-07-20 00:44:00 | t: 16.179455 | C: False; H: False
2018-07-20 00:46:00 | t: 16.169455 | C: False; H: False
2018-07-20 00:48:00 | t: 16.159456 | C: False; H: False
2018-07-20 00:50:00 | t: 16.149457 | C: False; H: False
2018-07-20 00:52:00 | t: 16.139458 | C: False; H: False
2018-07-20 00:54:00 | t: 16.129459 | C: False; H: False
2018-07-20 00:56:00 | t: 16.119460 | C: False; H: False
2018-07-20 00:58:00 | t: 16.109461 | C: False; H: False
2018-07-20 01:00:00 | t: 16.099462 | C: False; H: False
2018-07-20 01:02:00 | t: 16.089463 | C: False; H: False
2018-07-20 01:04:00 | t: 16.079464 | C: False; H: False
2018-07-20 01:06:00 | t: 16.069465 | C: False; H: False
2018-07-20 01:08:00 | t: 16.059467 | C: False; H: False
2018-07-20 01:10:00 | t: 16.049468 | C: False; H: False
2018-07-20 01:12:00 | t: 16.039469 | C: False; H: False
2018-07-20 01:14:00 | t: 16.029470 | C: False; H: False
2018-07-20 01:16:00 | t: 16.019472 | C: False; H: False
2018-07-20 01:18:00 | t: 16.009473 | C: False; H: False
2018-07-20 01:20:00 | t: 15.999474 | C: False; H: False
2018-07-20 01:22:00 | t: 15.989476 | C: False; H: False
2018-07-20 01:24:00 | t: 15.979477 | C: False; H: False
2018-07-20 01:26:00 | t: 15.969479 | C: False; H: False
2018-07-20 01:28:00 | t: 15.959480 | C: False; H: False
2018-07-20 01:30:00 | t: 15.949482 | C: False; H: False
2018-07-20 01:32:00 | t: 15.939477 | C: False; H: False
2018-07-20 01:34:00 | t: 15.929473 | C: False; H: False
2018-07-20 01:36:00 | t: 15.919472 | C: False; H: False
2018-07-20 01:38:00 | t: 15.909472 | C: False; H: False
2018-07-20 01:40:00 | t: 15.899472 | C: False; H: False
2018-07-20 01:42:00 | t: 15.889472 | C: False; H: False
2018-07-20 01:44:00 | t: 15.879472 | C: False; H: False
2018-07-20 01:46:00 | t: 15.869472 | C: False; H: False
2018-07-20 01:48:00 | t: 15.859472 | C: False; H: False
2018-07-20 01:50:00 | t: 15.849472 | C: False; H: False
2018-07-20 01:52:00 | t: 15.839472 | C: False; H: False
2018-07-20 01:54:00 | t: 15.829472 | C: False; H: False
2018-07-20 01:56:00 | t: 15.819472 | C: False; H: False
2018-07-20 01:58:00 | t: 15.809472 | C: False; H: False
2018-07-20 02:00:00 | t: 15.799472 | C: False; H: False
2018-07-20 02:02:00 | t: 15.782749 | C: False; H: False
2018-07-20 02:04:00 | t: 15.760705 | C: False; H: False
2018-07-20 02:06:00 | t: 15.737623 | C: False; H: False
2018-07-20 02:08:00 | t: 15.714338 | C: False; H: False
2018-07-20 02:10:00 | t: 15.691015 | C: False; H: False
2018-07-20 02:12:00 | t: 15.667683 | C: False; H: False
2018-07-20 02:14:00 | t: 15.644350 | C: False; H: False
2018-07-20 02:16:00 | t: 15.621017 | C: False; H: False
2018-07-20 02:18:00 | t: 15.597684 | C: False; H: False
2018-07-20 02:20:00 | t: 15.574350 | C: False; H: False
2018-07-20 02:22:00 | t: 15.551017 | C: False; H: False
2018-07-20 02:24:00 | t: 15.527683 | C: False; H: False
2018-07-20 02:26:00 | t: 15.504350 | C: False; H: False
2018-07-20 02:28:00 | t: 15.481017 | C: False; H: True
2018-07-20 02:30:00 | t: 18.504826 | C: False; H: False
2018-07-20 02:32:00 | t: 16.028515 | C: False; H: False
2018-07-20 02:34:00 | t: 15.526873 | C: False; H: False
2018-07-20 02:36:00 | t: 15.410274 | C: False; H: True
2018-07-20 02:38:00 | t: 18.415898 | C: False; H: False
2018-07-20 02:40:00 | t: 15.936041 | C: False; H: False
2018-07-20 02:42:00 | t: 15.433707 | C: False; H: True
2018-07-20 02:44:00 | t: 18.364116 | C: False; H: False
2018-07-20 02:46:00 | t: 15.869593 | C: False; H: False
2018-07-20 02:48:00 | t: 15.364400 | C: False; H: True
2018-07-20 02:50:00 | t: 18.294251 | C: False; H: False
2018-07-20 02:52:00 | t: 15.799619 | C: False; H: False
2018-07-20 02:54:00 | t: 15.294405 | C: False; H: True
2018-07-20 02:56:00 | t: 18.224253 | C: False; H: False
2018-07-20 02:58:00 | t: 15.729619 | C: False; H: False
2018-07-20 03:00:00 | t: 15.224405 | C: False; H: True
2018-07-20 03:02:00 | t: 18.145849 | C: False; H: False
2018-07-20 03:04:00 | t: 15.636160 | C: False; H: False
2018-07-20 03:06:00 | t: 15.114593 | C: False; H: True
2018-07-20 03:08:00 | t: 18.027836 | C: False; H: False
2018-07-20 03:10:00 | t: 15.516547 | C: False; H: False
2018-07-20 03:12:00 | t: 14.994669 | C: False; H: True
2018-07-20 03:14:00 | t: 17.907851 | C: False; H: False
2018-07-20 03:16:00 | t: 15.396550 | C: False; H: True
2018-07-20 03:18:00 | t: 17.921813 | C: False; H: False
2018-07-20 03:20:00 | t: 15.334872 | C: False; H: True
2018-07-20 03:22:00 | t: 17.845385 | C: False; H: False
2018-07-20 03:24:00 | t: 15.255568 | C: False; H: True
2018-07-20 03:26:00 | t: 17.765521 | C: False; H: False
2018-07-20 03:28:00 | t: 15.175595 | C: False; H: True
2018-07-20 03:30:00 | t: 17.685526 | C: False; H: False
2018-07-20 03:32:00 | t: 15.095596 | C: False; H: True
2018-07-20 03:34:00 | t: 17.605527 | C: False; H: False
2018-07-20 03:36:00 | t: 15.015596 | C: False; H: True
2018-07-20 03:38:00 | t: 17.525527 | C: False; H: False
2018-07-20 03:40:00 | t: 14.935595 | C: False; H: True
2018-07-20 03:42:00 | t: 17.445527 | C: False; H: False
2018-07-20 03:44:00 | t: 14.855595 | C: False; H: True
2018-07-20 03:46:00 | t: 17.365527 | C: False; H: False
2018-07-20 03:48:00 | t: 14.775595 | C: False; H: True
2018-07-20 03:50:00 | t: 17.285527 | C: False; H: False
2018-07-20 03:52:00 | t: 14.695595 | C: False; H: True
2018-07-20 03:54:00 | t: 17.205527 | C: False; H: False
2018-07-20 03:56:00 | t: 14.615595 | C: False; H: True
2018-07-20 03:58:00 | t: 17.125527 | C: False; H: False
2018-07-20 04:00:00 | t: 14.535595 | C: False; H: True
2018-07-20 04:02:00 | t: 17.072419 | C: False; H: False
2018-07-20 04:04:00 | t: 14.530664 | C: False; H: True
2018-07-20 04:06:00 | t: 17.092924 | C: False; H: False
2018-07-20 04:08:00 | t: 14.556129 | C: False; H: True
2018-07-20 04:10:00 | t: 17.119357 | C: False; H: False
2018-07-20 04:12:00 | t: 14.582751 | C: False; H: True
2018-07-20 04:14:00 | t: 17.146015 | C: False; H: False
2018-07-20 04:16:00 | t: 14.609415 | C: False; H: True
2018-07-20 04:18:00 | t: 17.172681 | C: False; H: False
2018-07-20 04:20:00 | t: 14.636082 | C: False; H: True
2018-07-20 04:22:00 | t: 17.199347 | C: False; H: False
2018-07-20 04:24:00 | t: 14.662749 | C: False; H: True
2018-07-20 04:26:00 | t: 17.226014 | C: False; H: False
2018-07-20 04:28:00 | t: 14.689415 | C: False; H: True
2018-07-20 04:30:00 | t: 17.252681 | C: False; H: False
2018-07-20 04:32:00 | t: 14.716082 | C: False; H: True
2018-07-20 04:34:00 | t: 17.279347 | C: False; H: False
2018-07-20 04:36:00 | t: 14.742749 | C: False; H: True
2018-07-20 04:38:00 | t: 17.306014 | C: False; H: False
2018-07-20 04:40:00 | t: 14.769416 | C: False; H: True
2018-07-20 04:42:00 | t: 17.332681 | C: False; H: False
2018-07-20 04:44:00 | t: 14.796082 | C: False; H: True
2018-07-20 04:46:00 | t: 17.359347 | C: False; H: False
2018-07-20 04:48:00 | t: 14.822749 | C: False; H: True
2018-07-20 04:50:00 | t: 17.386014 | C: False; H: False
2018-07-20 04:52:00 | t: 14.849416 | C: False; H: True
2018-07-20 04:54:00 | t: 17.412681 | C: False; H: False
2018-07-20 04:56:00 | t: 14.876082 | C: False; H: True
2018-07-20 04:58:00 | t: 17.439347 | C: False; H: False
2018-07-20 05:00:00 | t: 14.902749 | C: False; H: True
2018-07-20 05:02:00 | t: 17.435864 | C: False; H: False
2018-07-20 05:04:00 | t: 14.845252 | C: False; H: True
2018-07-20 05:06:00 | t: 17.349849 | C: False; H: False
2018-07-20 05:08:00 | t: 14.753676 | C: False; H: True
2018-07-20 05:10:00 | t: 17.257189 | C: False; H: False
2018-07-20 05:12:00 | t: 14.660804 | C: False; H: True
2018-07-20 05:14:00 | t: 17.164277 | C: False; H: False
2018-07-20 05:16:00 | t: 14.567884 | C: False; H: True
2018-07-20 05:18:00 | t: 17.071355 | C: False; H: False
2018-07-20 05:20:00 | t: 14.474961 | C: False; H: True
2018-07-20 05:22:00 | t: 16.978432 | C: False; H: False
2018-07-20 05:24:00 | t: 14.382038 | C: False; H: True
2018-07-20 05:26:00 | t: 16.885510 | C: False; H: False
2018-07-20 05:28:00 | t: 14.289115 | C: False; H: True
2018-07-20 05:30:00 | t: 16.792587 | C: False; H: False
2018-07-20 05:32:00 | t: 14.196193 | C: False; H: True
2018-07-20 05:34:00 | t: 16.699664 | C: False; H: False
2018-07-20 05:36:00 | t: 14.103270 | C: False; H: True
2018-07-20 05:38:00 | t: 16.606742 | C: False; H: False
2018-07-20 05:40:00 | t: 14.010347 | C: False; H: True
2018-07-20 05:42:00 | t: 16.513819 | C: False; H: False
2018-07-20 05:44:00 | t: 13.917424 | C: False; H: True
2018-07-20 05:46:00 | t: 16.420897 | C: False; H: False
2018-07-20 05:48:00 | t: 13.824502 | C: False; H: True
2018-07-20 05:50:00 | t: 16.327974 | C: False; H: False
2018-07-20 05:52:00 | t: 13.731579 | C: False; H: True
2018-07-20 05:54:00 | t: 16.235052 | C: False; H: False
2018-07-20 05:56:00 | t: 13.638656 | C: False; H: True
2018-07-20 05:58:00 | t: 16.142129 | C: False; H: False
2018-07-20 06:00:00 | t: 13.545733 | C: False; H: False
2018-07-20 06:02:00 | t: 13.139323 | C: False; H: False
2018-07-20 06:04:00 | t: 13.241792 | C: False; H: False
2018-07-20 06:06:00 | t: 13.443520 | C: False; H: False
2018-07-20 06:08:00 | t: 13.664603 | C: False; H: False
2018-07-20 06:10:00 | t: 13.889461 | C: False; H: False
2018-07-20 06:12:00 | t: 14.115054 | C: False; H: False
2018-07-20 06:14:00 | t: 14.340791 | C: False; H: False
2018-07-20 06:16:00 | t: 14.566556 | C: False; H: False
2018-07-20 06:18:00 | t: 14.792326 | C: False; H: False
2018-07-20 06:20:00 | t: 15.018097 | C: False; H: False
2018-07-20 06:22:00 | t: 15.243869 | C: False; H: False
2018-07-20 06:24:00 | t: 15.469641 | C: False; H: False
2018-07-20 06:26:00 | t: 15.695412 | C: False; H: False
2018-07-20 06:28:00 | t: 15.921184 | C: False; H: False
2018-07-20 06:30:00 | t: 16.146956 | C: False; H: False
2018-07-20 06:32:00 | t: 16.372727 | C: False; H: False
2018-07-20 06:34:00 | t: 16.598499 | C: False; H: False
2018-07-20 06:36:00 | t: 16.824270 | C: False; H: False
2018-07-20 06:38:00 | t: 17.050042 | C: False; H: False
2018-07-20 06:40:00 | t: 17.275814 | C: False; H: False
2018-07-20 06:42:00 | t: 17.501585 | C: False; H: False
2018-07-20 06:44:00 | t: 17.727357 | C: False; H: False
2018-07-20 06:46:00 | t: 17.953129 | C: False; H: False
2018-07-20 06:48:00 | t: 18.178900 | C: False; H: False
2018-07-20 06:50:00 | t: 18.404672 | C: False; H: False
2018-07-20 06:52:00 | t: 18.630443 | C: False; H: False
2018-07-20 06:54:00 | t: 18.856215 | C: False; H: False
2018-07-20 06:56:00 | t: 19.081987 | C: False; H: False
2018-07-20 06:58:00 | t: 19.307758 | C: False; H: False
2018-07-20 07:00:00 | t: 19.533530 | C: False; H: False
2018-07-20 07:02:00 | t: 19.688347 | C: False; H: False
2018-07-20 07:04:00 | t: 19.787001 | C: False; H: False
2018-07-20 07:06:00 | t: 19.874703 | C: False; H: False
2018-07-20 07:08:00 | t: 19.960271 | C: False; H: False
2018-07-20 07:10:00 | t: 20.045421 | C: False; H: False
2018-07-20 07:12:00 | t: 20.130491 | C: False; H: False
2018-07-20 07:14:00 | t: 20.215545 | C: False; H: False
2018-07-20 07:16:00 | t: 20.300596 | C: False; H: False
2018-07-20 07:18:00 | t: 20.385646 | C: False; H: False
2018-07-20 07:20:00 | t: 20.470696 | C: False; H: False
2018-07-20 07:22:00 | t: 20.555746 | C: False; H: False
2018-07-20 07:24:00 | t: 20.640795 | C: False; H: False
2018-07-20 07:26:00 | t: 20.725845 | C: False; H: False
2018-07-20 07:28:00 | t: 20.810895 | C: False; H: False
2018-07-20 07:30:00 | t: 20.895945 | C: False; H: False
2018-07-20 07:32:00 | t: 20.980995 | C: False; H: False
2018-07-20 07:34:00 | t: 21.066045 | C: False; H: False
2018-07-20 07:36:00 | t: 21.151095 | C: False; H: False
2018-07-20 07:38:00 | t: 21.236145 | C: False; H: False
2018-07-20 07:40:00 | t: 21.321195 | C: False; H: False
